zona,quartos,area,preco
sul,1,45,950
sul,3,217,7000
sul,4,320,7000
sul,5,398,7000
sul,,185,7000
sul,3,270,7000
sul,5,270,7000
sul,,80,7000
sul,5,250,7000
sul,2,120,2500
sul,,152,7000
sul,4,300,7000
sul,1,40,850
sul,1,30,600
sul,2,70,1800
sul,2,60,1300
sul,2,60,1600
sul,2,250,1200
sul,1,30,1100
sul,,386,20000
sul,1,60,1200
sul,1,40,900
sul,1,20,500
sul,1,30,700
sul,2,60,1700
sul,3,500,6000
sul,3,250,1600000
sul,2,90,1700
sul,4,170,3200
sul,3,445,7000
sul,5,200,7000
sul,1,160,7000
sul,3,240,7000
sul,5,500,7000
sul,1,25,600
sul,3,150,7000
sul,1,25,600
sul,1,30,650
sul,2,80,1000
sul,2,90,950
sul,3,420,3300
sul,2,106,4500
sul,,220,22000
sul,2,69,2700
sul,1,30,400
sul,2,120,1700
sul,3,45,1000
sul,2,230,1700
sul,2,86,2000
sul,1,23,1250
sul,4,295,12100
sul,4,140,13100
sul,4,230,5000
sul,1,15,1250
sul,2,130,2600
sul,3,183,2100
sul,3,100,2500
sul,3,380,4900
sul,,,2350
sul,1,60,1500
sul,3,150,2800
sul,3,260,2500
sul,,139,4000
sul,4,350,18100
sul,2,54,1500
sul,2,80,2000
sul,4,135,3800
sul,1,110,2700
sul,3,155,3200
sul,,,2500
sul,2,115,3500
sul,5,266,3900
sul,2,280,7000
sul,2,120,1920
sul,,300,15000
sul,2,69,2300
sul,3,160,2700
sul,,230,4000
sul,,,5000
sul,3,199,6000
sul,4,221,3500
sul,,523,28100
sul,4,333,4000
sul,2,140,4000
sul,1,60,2500
sul,4,609,9000
sul,3,150,4500
sul,2,71,3500
sul,,450,15000
sul,3,104,3800
sul,,270,15000
sul,4,678,10000
sul,2,210,6000
sul,3,120,3500
sul,3,300,9500
sul,3,150,4000
sul,3,182,4800
sul,3,300,5000
sul,5,1300,42000
sul,2,160,15000
sul,4,199,3000
sul,3,275,7500
sul,5,1300,43000
sul,4,302,18000
sul,3,150,3500
sul,,430,25000
sul,,750,28000
sul,5,530,12000
sul,4,871,35000
sul,,350,11000
sul,,1000,48000
sul,5,750,28000
sul,4,280,12000
sul,5,600,30000
sul,4,417,11007
sul,5,465,15000
sul,5,575,18000
sul,4,600,25000
sul,5,290,16000
sul,4,415,15000
sul,3,250,11000
sul,4,468,15000
sul,,348,15000
sul,4,793,11000
sul,4,200,12000
sul,,350,12000
sul,4,280,9000
sul,3,250,7000
sul,5,572,13000
sul,3,400,12000
sul,,300,12000
sul,,300,10900
sul,,300,7500
sul,,400,20000
sul,1,210,15000
sul,3,360,11500
sul,4,707,10000
sul,3,135,4500
sul,5,370,12000
sul,2,180,7300
sul,5,280,7500
sul,5,1000,47000
sul,,596,35000
sul,5,400,15000
sul,,650,37999
sul,2,990,80000
sul,4,543,20000
sul,,281,12000
sul,4,464,12000
sul,,139,7000
sul,4,296,12000
sul,4,363,12000
sul,3,360,12000
sul,,100,4400
sul,5,900,39000
sul,5,900,48000
sul,5,434,45000
sul,3,445,20000
sul,5,900,48000
sul,,434,50000
sul,4,434,45000
sul,,350,14800
sul,,300,7400
sul,4,500,13000
sul,,171,11000
sul,4,240,2500
sul,1,60,1100
sul,3,125,3500
sul,4,945,11000
sul,,219,11000
sul,4,650,11000
sul,,296,15000
sul,3,340,10000
sul,4,430,15500
sul,3,260,12000
sul,4,430,30000
sul,1,60,2300
sul,,140,8000
sul,,480,20000
sul,4,300,12600
sul,,85,5000
sul,3,170,5000
sul,3,120,1700
sul,1,350,13000
sul,4,610,12000
sul,3,204,7000
sul,,354,30000
sul,5,600,40000
sul,,290,12000
sul,3,200,2500
sul,3,146,2800
sul,4,720,25000
norte,2,60,2000
norte,1,46,1350
norte,2,70,850
norte,1,160,700
norte,1,70,600
norte,1,40,720
norte,5,150,2000
norte,1,50,820
norte,02,58,1500
norte,1,90,1000
norte,1,30,1390
norte,1,40,800
norte,2,42,1100
norte,,30,770
norte,2,50,1700
norte,1,30,550
norte,2,45,950
norte,1,90,900
norte,2,80,1200
norte,1,42,1000
norte,3,100,1800
norte,2,40,1000
norte,1,30,1300
norte,1,40,750
norte,2,75,1200
norte,1,40,850
norte,1,30,600
norte,2,45,850
norte,3,120,1800
norte,3,160,2500
norte,1,50,550
norte,2,75,1550
norte,2,100,1800
norte,2,80,1800
norte,1,30,700
norte,2,80,1150
norte,2,70,1200
norte,2,70,1400
norte,2,180,3500
norte,2,100,1400
norte,2,55,1300
norte,3,200,2000
norte,,700,8000
norte,,150,3500
norte,4,400,7200
norte,2,84,1800
norte,2,95,1900
norte,3,250,2500
norte,1,110,1100
norte,2,64,950
norte,3,300,5000
norte,3,238,2300
norte,3,200,3000
norte,1,48,850
norte,2,125,1100
norte,2,200,1600
norte,5,568,6000
norte,2,150,2800
norte,3,225,3000
norte,3,120,2700
norte,2,60,1250
norte,2,60,2000
norte,2,45,1400
norte,3,225,3000
norte,4,202,3000
norte,3,240,4000
norte,2,100,2800
norte,2,100,2800
norte,1,35,800
norte,3,130,2500
norte,4,500,11000
norte,,113,3800
norte,2,380,5000
norte,3,225,3000
norte,,120,3500
norte,3,225,3000
norte,2,400,4000
norte,2,60,1450
norte,2,90,1800
norte,2,50,1200
norte,2,100,1300
norte,3,90,3000
norte,2,40,1800
norte,1,45,1000
norte,1,32,1350
norte,,100,2800
norte,1,32,1200
norte,2,65,2000
norte,2,100,1950
norte,2,70,950
norte,1,40,680
norte,3,120,2200
norte,,350,8000
norte,1,55,900
norte,1,30,650
norte,1,65,900
norte,3,90,1300
norte,2,80,1000
norte,2,250,2800
norte,2,110,2500
norte,,120,2500
norte,1,35,700
norte,2,90,1800
norte,8,350,7000
norte,2,217,1200
norte,1,40,850
norte,1,45,1000
norte,,350,7500
norte,2,90,2200
norte,1,50,750
norte,1,55,900
norte,2,45,950
norte,2,50,990
norte,1,38,750
norte,2,60,950
norte,3,120,2400
norte,1,45,800
norte,3,190,4000
norte,1,30,900
norte,1,21,650
norte,1,50,1100
norte,3,130,1800
norte,3,203,2100
norte,3,150,3000
norte,5,750,5800
norte,4,250,5000
norte,3,195,3300
norte,4,250,3700
norte,3,125,2500
norte,3,250,2800
norte,3,160,3200
norte,5,570,9000
norte,1,48,1200
norte,1,50,950
norte,5,800,18000
norte,2,120,1580
norte,2,120,1580
norte,2,150,2800
norte,2,90,1800
norte,3,190,3800
norte,2,120,1580
norte,3,180,2900
norte,3,96,2200
norte,4,300,4000
norte,1,50,1000
norte,3,98,2400
norte,1,45,850
norte,1,40,900
norte,2,60,1000
norte,5,568,6000
norte,2,142,2990
norte,2,150,3500
norte,2,120,4000
norte,1,35,1200
norte,2,100,2800
norte,2,90,2200
norte,1,46,750
norte,8,350,8000
norte,,450,20000
norte,1,40,800
norte,1,45,800
norte,3,135,3200
norte,2,120,1580
norte,2,110,2700
norte,3,80,1400
norte,1,70,1150
norte,2,114,2000
norte,3,150,2900
norte,3,158,2300
norte,,60,2000
norte,,1000,17000
norte,2,120,1580
norte,2,360,2700
norte,2,40,700
norte,3,82,1500
norte,,140,12000
norte,1,40,500
norte,2,60,1300
norte,1,40,700
norte,2,55,1000
norte,1,50,750
norte,1,400,450
norte,1,35,700
norte,3,60,900
norte,3,70,1000
norte,1,50,550
norte,1,40,550
norte,1,40,650
norte,1,25,450
norte,1,70,600
norte,2,90,700
norte,2,60,1000
norte,2,90,1000
norte,2,70,1200
norte,1,60,650
norte,3,90,1100
norte,1,50,950
norte,2,70,1800
norte,2,90,1300
norte,1,50,650
norte,2,80,1100
norte,3,90,1400
norte,1,35,700
norte,1,90,700
norte,1,50,900
norte,1,80,750
norte,1,35,700
norte,5,80,2000
norte,2,70,800
norte,1,40,700
norte,1,45,700
norte,1,50,550
norte,3,110,1800
norte,1,70,1600
norte,1,70,700
norte,2,48,920
norte,2,90,1050
norte,1,50,650
norte,5,85,1900
norte,1,200,750
norte,2,48,1200
norte,3,60,1800
norte,3,70,930
norte,2,40,1500
norte,1,40,750
norte,1,40,790
norte,1,30,550
norte,1,70,850
norte,2,360,950
norte,2,50,900
norte,2,50,1400
norte,2,70,1800
norte,2,90,950
norte,3,80,1100
norte,1,40,750
norte,1,50,550
norte,2,90,1600
norte,3,110,1700
norte,2,90,1300
norte,1,50,650
leste,3,225,7000
leste,,250,7000
leste,3,600,7000
leste,,40,600
leste,1,56,1000
leste,3,130,2000
leste,1,70,900
leste,2,84,1800
leste,3,140,2600
leste,2,47,1208
leste,1,32,500
leste,,200,5000
leste,1,42,980
leste,3,240,3000
leste,2,80,2300
leste,3,150,1400
leste,3,147,2500
leste,3,97,1950
leste,3,200,2800
leste,3,270,7000
leste,,188,7000
leste,1,40,850
leste,3,317,2500
leste,2,70,1700
leste,3,100,2500
leste,1,60,700
leste,2,180,2000
leste,2,60,1600
leste,1,10,800
leste,2,80,1300
leste,2,55,900
leste,2,60,1100
leste,2,100,1300
leste,2,55,900
leste,01,50,900
leste,1,45,750
leste,2,50,1100
leste,1,40,550
leste,2,120,1300
leste,2,100,1300
leste,1,45,800
leste,2,80,1200
leste,2,100,1600
leste,2,80,1250
leste,2,140,1900
leste,2,70,1200
leste,4,250,3000
leste,2,110,2000
leste,1,45,900
leste,3,55,1500
leste,1,50,1000
leste,2,90,1100
leste,1,40,1000
leste,2,80,1400
leste,4,120,2500
leste,1,50,850
leste,3,90,1800
leste,2,60,1500
leste,2,60,1300
leste,2,100,1600
leste,3,90,1700
leste,4,130,2000
leste,2,60,750
leste,1,1,650
leste,1,40,650
leste,2,60,950
leste,,30,500
leste,3,115,2000
leste,2,150,850
leste,2,80,1600
leste,2,80,880
leste,2,60,1200
leste,2,70,1200
leste,1,30,600
leste,3,150,2500
leste,2,70,1200
leste,1,31,800
leste,2,70,980
leste,,,900
leste,1,31,800
leste,1,48,900
leste,3,125,1700
leste,1,40,1600
leste,2,65,1500
leste,1,40,690
leste,2,80,1300
leste,3,120,2000
leste,4,500,15000
leste,,,1912
leste,3,150,3000
leste,3,295,3500
leste,,150,2200
leste,,,2800
leste,3,210,2500
leste,3,160,2500
leste,3,220,3200
leste,,,700
leste,4,250,9900
leste,2,64,2000
leste,4,150,1600
leste,3,170,3500
leste,3,200,7000
leste,2,75,1000
leste,2,56,1610
leste,1,100,1300
leste,5,220,2000
leste,2,80,1800
leste,1,100,1350
leste,4,298,6000
leste,4,80,3200
leste,2,50,1200
leste,2,60,1350
leste,2,155,3200
leste,2,58,1500
leste,2,81,1100
leste,2,74,1200
leste,2,130,2700
leste,2,110,2100
leste,3,260,7000
leste,3,80,1500
leste,3,140,4000
leste,3,97,1800
leste,3,155,2200
leste,2,45,990
leste,,,1400
leste,4,180,4800
leste,15,303,15000
leste,3,126,1500
leste,3,100,2500
leste,,,1800
leste,3,260,3500
leste,2,80,2500
leste,2,106,1900
leste,3,123,3500
leste,4,200,2400
leste,3,200,2800
leste,5,700,8000
leste,3,73,1500
leste,4,280,6000
leste,1,40,850
leste,3,120,2500
leste,2,89,2200
leste,3,500,6000
leste,1,40,690
leste,,,1300
leste,2,80,1300
leste,3,120,3500
leste,2,63,1750
leste,1,50,1100
leste,2,80,1600
leste,,,8900
leste,3,100,2600
leste,1,80,1100
leste,3,110,2500
leste,3,130,2500
leste,3,250,2000
leste,2,55,995
leste,1,50,1300
leste,2,100,1450
leste,2,100,1300
leste,2,85,1400
leste,3,350,3500
leste,3,253,4300
leste,1,60,850
leste,1,70,1300
leste,1,35,900
leste,2,84,2800
leste,2,120,2100
leste,3,100,3000
leste,2,70,1400
leste,2,67,1100
leste,4,294,6000
leste,2,70,1800
leste,1,120,2200
leste,,,1750
leste,2,75,1200
leste,2,60,1600
leste,2,80,1000
leste,2,96,1300
leste,2,80,1900
leste,,150,3000
leste,,200,3200
leste,1,35,1100
leste,1,80,1100
leste,2,70,1200
leste,3,85,1600
leste,1,130,1970
leste,2,35,1200
leste,2,10,1200
leste,,,1900
leste,1,40,650
leste,1,35,450
leste,1,55,850
leste,1,70,1150
leste,2,80,1300
leste,,,2000
leste,,,1100
leste,1,60,1350
leste,2,60,1300
leste,2,120,1500
leste,2,75,1300
leste,2,10,1100
leste,4,140,3500
leste,2,40,1100
leste,1,55,1200
leste,1,35,750
leste,2,75,1300
leste,1,35,750
leste,2,135,1600
leste,2,120,1300
leste,2,110,2000
leste,1,60,580
leste,2,160,2200
leste,1,70,800
leste,1,70,1200
leste,1,35,760
leste,1,60,1100
leste,1,45,1350
leste,3,150,3600
leste,1,55,900
leste,1,44,1100
leste,1,44,1100
leste,1,45,1200
leste,1,50,480
leste,3,160,1600
leste,1,30,1100
leste,2,70,1700
leste,1,45,950
leste,2,250,800
leste,1,10,800
leste,2,100,1300
leste,1,80,1000
leste,,,700
leste,,,1000
leste,,105,5000
leste,3,200,4000
leste,2,67,1262
leste,2,90,1700
leste,2,300,2300
leste,1,53,2500
leste,2,78,1100
leste,2,65,1500
leste,1,48,800
leste,2,60,850
leste,1,45,620
leste,2,70,1200
leste,3,142,2300
leste,3,142,2300
leste,1,50,800
leste,3,180,2700
leste,3,142,2300
leste,3,142,2300
leste,,498,8000
leste,,255,7500
leste,,150,2200
leste,5,682,25000
leste,,126,2500
leste,4,140,2000
leste,4,250,6000
leste,3,270,12000
leste,,312,7000
leste,3,203,2600
leste,4,540,11500
leste,5,480,12000
leste,4,400,30000
leste,5,1200,14000
leste,3,625,15000
leste,,370,16000
leste,4,300,15000
leste,5,240,10000
leste,3,340,7000
leste,5,510,14000
leste,2,50,1300
leste,2,70,1500
leste,3,454,7500
leste,2,104,1400
leste,1,200,10500
leste,,350,10000
leste,2,150,2500
leste,4,400,12000
leste,1,40,1200
leste,1,50,900
leste,4,620,20000
leste,1,70,220000
leste,2,90,1500
leste,,500,5500
leste,5,372,10000
leste,1,10,650
oeste,3,230,7000
oeste,3,204,2900
oeste,2,113,1799
oeste,1,42,950
oeste,4,600,26500
oeste,,400,7000
oeste,,150,7000
oeste,1,42,1000
oeste,1,16,450
oeste,3,180,9500
oeste,,20,500
oeste,10,250,15000
oeste,2,116,600000
oeste,1,40,1250
oeste,1,32,800
oeste,2,120,1700
oeste,1,40,800
oeste,3,200,2800
oeste,3,165,2500
oeste,1,55,900
oeste,3,180,5000
oeste,1,50,1100
oeste,4,890,55000
oeste,3,108,4250
oeste,6,815,25000
oeste,3,130,2600
oeste,2,80,1000
oeste,1,40,750
oeste,3,120,1200
oeste,1,50,750
oeste,1,70,950
oeste,2,100,1890
oeste,5,490,10000
oeste,3,100,1423
oeste,3,140,2500
oeste,5,242,4000
oeste,3,300,3700
oeste,3,285,4200
oeste,3,212,8000
oeste,2,50,1100
oeste,5,360,11875
oeste,3,130,2800
oeste,5,360,11875
oeste,,700,10000
oeste,3,160,3000
oeste,,1,39000
oeste,3,300,12000
oeste,3,40,2300
oeste,3,196,3800
oeste,2,100,1800
oeste,3,140,4500
oeste,2,78,1600
oeste,3,170,3200
oeste,2,110,2000
oeste,2,77,3600
oeste,1,60,1500
oeste,2,140,2800
oeste,3,80,3500
oeste,4,175,3400
oeste,,194,7000
oeste,2,157,4500
oeste,2,70,2000
oeste,3,60,1100
oeste,1,45,650
oeste,3,155,3500
oeste,3,130,2800
oeste,3,198,6200
oeste,,310,12000
oeste,1,50,1100
oeste,2,350,10000
oeste,1,125,1200
oeste,4,761,12196
oeste,4,761,12196
oeste,4,202,5000
oeste,2,120,2200
oeste,3,130,2300
oeste,2,94,2500
oeste,2,94,2500
oeste,3,107,1650
oeste,1,50,1300
oeste,,71,2500
oeste,1,25,600
oeste,,74,6000
oeste,1,60,1200
oeste,3,165,3000
oeste,,190,7000
oeste,2,60,1100
oeste,2,87,1200
oeste,,200,3900
oeste,4,332,10000
oeste,3,350,3200
oeste,2,190,2900
oeste,4,600,8000
oeste,4,450,14500
oeste,3,280,10000
oeste,2,87,1200
oeste,1,36,1200
oeste,2,50,1400
oeste,3,250,3200
oeste,3,220,2800
oeste,2,150,2000
oeste,2,80,2800
oeste,3,140,3000
oeste,2,100,1900
oeste,1,50,750
oeste,2,71,1650
oeste,3,120,2500
oeste,2,80,1400
oeste,4,165,3500
oeste,4,400,25000
oeste,4,450,20000
oeste,2,80,1200
oeste,,80,1350
oeste,3,293,8500
oeste,5,220,6000
oeste,5,905,17100
oeste,5,905,17100
oeste,3,250,2800
oeste,3,150,6000
oeste,5,400,7000
oeste,6,230,4300
oeste,,280,7500
oeste,3,180,2500
oeste,2,130,2600
oeste,3,164,2800
oeste,3,150,2300
oeste,3,250,2800
oeste,2,60,3500
oeste,3,140,3200
oeste,3,206,2500
oeste,,400,4500
oeste,,74,6000
oeste,,695,22000
oeste,,160,2800
oeste,,200,12000
oeste,,407,15000
oeste,,600,27777
oeste,,160,5000
oeste,3,150,3500
oeste,3,150,8500
oeste,4,610,25000
oeste,3,200,4000
oeste,4,410,15000
oeste,4,280,6000
oeste,4,750,14000
oeste,4,400,8000
oeste,4,347,8000
oeste,1,105,2500
oeste,,190,12000
oeste,2,60,2100
oeste,2,90,1200
oeste,1,174,5500
oeste,,400,12000
oeste,2,60,2100
oeste,,640,9500
oeste,2,192,2000
oeste,3,650,14000
oeste,1,40,1100
oeste,1,70,900
oeste,5,573,7000
oeste,2,87,1200
oeste,1,45,1000
oeste,1,50,1300
oeste,2,120,2650
oeste,1,45,1000
oeste,1,40,1000
oeste,2,130,2100
oeste,2,70,1300
oeste,2,70,1300
oeste,1,30,800
oeste,1,40,800
oeste,1,150,8000
oeste,1,40,1100
oeste,2,90,1900
oeste,2,70,1900
oeste,3,140,4000
oeste,3,140,4000
oeste,2,110,2000
oeste,1,38,919
oeste,2,120,1600
oeste,1,140,4800
oeste,2,110,3500
oeste,1,20,600
oeste,3,900,8000
oeste,4,380,10000
oeste,,98,3400
oeste,3,230,3500
oeste,1,40,1100
oeste,,120,5600
oeste,3,70,8500
oeste,,200,4000
oeste,3,60,900
oeste,1,25,1000
oeste,2,100,2300
oeste,1,45,1350
oeste,,300,8800
oeste,,360,13200
oeste,2,150,4950
oeste,4,489,13000
oeste,,230,7500
oeste,3,400,7000
oeste,,396,39000
oeste,5,850,40000
oeste,4,1643,30000
oeste,4,470,30000
oeste,,396,39000
oeste,5,570,20000
oeste,4,400,15000
oeste,,220,14000
oeste,4,380,14000
oeste,,475,21000
oeste,5,700,19000
oeste,4,460,27000
oeste,4,489,13000
oeste,4,297,15500
oeste,3,200,15000
oeste,3,608,12000
oeste,3,480,12000
oeste,3,300,12000
oeste,3,260,12000
oeste,3,274,7500
oeste,3,900,35000
oeste,4,400,11000
oeste,,475,20000
oeste,4,610,19000
oeste,,300,12000
oeste,,240,7500
oeste,5,310,11500
oeste,,400,11500
oeste,5,297,15500
oeste,4,297,15500
oeste,4,330,19000
oeste,5,325,18000
oeste,4,297,15500
oeste,3,148,2300
oeste,4,297,15500
oeste,,475,20000
oeste,3,500,15000
oeste,4,580,15000
oeste,3,326,13499
oeste,,320,12000
oeste,5,450,12000
oeste,1,49,850
oeste,2,244,28000
oeste,4,330,16500
oeste,,400,13000
oeste,1,10,550
oeste,1,40,1200
oeste,2,150,7500
oeste,4,280,12000
oeste,,300,18000
oeste,3,180,3500
oeste,3,329,15000
oeste,02,80,2200
oeste,2,140,2200
oeste,,331,19000
oeste,,186,12000
oeste,,186,11000
oeste,3,350,11500
oeste,02,80,2200
oeste,2,100,1800
oeste,02,80,2150
oeste,02,80,2100
oeste,,186,11000
oeste,4,186,11000
oeste,2,186,11000
oeste,03,200,3600
oeste,4,433,7000
oeste,11,200,4500
oeste,3,210,10500
oeste,03,200,3700
oeste,4,400,18000
oeste,1,25,550
oeste,2,40,950
oeste,01,65,1300
oeste,4,331,14000
oeste,1,50,950
oeste,3,340,12000
oeste,,126,5000
oeste,1,30,900
oeste,,320,11000
oeste,2,100,1700
oeste,1,60,700
oeste,2,71,1300
oeste,2,200,3000
oeste,1,40,1200
oeste,2,62,1300
oeste,1,32,730
